Word,Count
"thoughts,",6
coveting,1
20-03-2017,1
greeneyedmonster,1
190,2
decisions,3
led,1
painful,4
present.,1
15-12-2018,3
regretfulmind,1
#pastchoices,1
191,2
stains,1
01-07-2016,1
corruptedheart,1
192,2
sinking,4
darker,1
than,4
last.,1
20-08-2020,1
drowningsoul,1
#darkdays,1
193,2
"overwhelms,",1
storm,5
emotions,9
within.,2
25-02-2021,1
stormyheart,1
#emotionalstorm,2
194,2
echoes,15
empty,2
"spaces,",1
yearning,5
12-09-2019,1
echoingsoul,1
#yearningforconnection,1
195,2
brewing,1
05-08-2018,2
poisonedmind,1
196,2
wound,1
refuses,2
heal.,1
12-01-2017,1
unforgivingsoul,1
#unforgiving,1
197,2
"escalates,",1
thunderstorm,1
05-04-2022,1
thunderingmind,1
198,2
"lingers,",3
stagnant,1
pool,1
indifference.,4
02-10-2021,1
stagnantheart,1
#stagnation,1
199,2
embarking,9
journey,18
"discovery,",1
fueled,6
curiosity,22
thirst,1
knowledge.,4
15-04-2023,1
10:15,3
inquisitivemind,1
#curiosity,10
#learning,1
200,2
lost,17
vast,4
"information,",1
indifferent,3
wave,3
digital,2
ocean.,1
indifference,6
28-11-2022,1
apatheticobserver,1
#indifference,5
#digitaloverload,1
201,2
complex,1
puzzle,4
leaves,6
perpetual,2
"confusion,",2
seeking,3
answers,1
chaos.,2
seekingclarity,1
#lifepuzzle,1
202,2
numbness,9
shield,6
overwhelming,1
throws,2
way.,1
14:00,12
emotionallydistant,1
#numbness,6
#emotionalshield,2
203,2
gazing,2
"sunset,",2
melancholic,3
longing,1
moments,9
slip,1
fingers,3
time.,9
melancholy,10
18-06-2019,1
20:45,15
sunsetdreamer,1
#melancholy,6
#sunsetmoments,1
204,2
"photographs,",1
caught,6
nostalgia's,1
bittersweet,6
symphony.,2
nostalgia,19
05-02-2018,1
memorylanetraveler,1
#nostalgia,11
#memorylane,2
205,2
torn,4
between,6
conflicting,4
"emotions,",3
ambivalence,11
paints,4
shades,2
uncertainty.,2
30-05-2022,1
mixedfeelings,1
#ambivalence,6
#uncertainchoices,1
206,2
ebb,1
flow,3
"life,",6
dance,15
existence.,1
10-01-2023,2
zenlifestyle,1
207,2
facing,3
"head-on,",1
determination,13
fuels,1
fire,1
within,5
achieve,2
impossible.,1
18-09-2020,2
13:45,9
resilientspirit,1
#determination,7
#achievetheimpossible,1
208,2
stillness,2
tranquil,7
retreat,2
modern,1
03-07-2021,1
naturesoul,1
#natureretreat,1
209,2
leading,2
down,4
rabbit,2
hole,1
"knowledge,",1
student,1
classroom.,1
08-10-2022,1
08:15,3
eternallearner,1
#knowledgequest,1
210,2
floating,4
air,5
"indifference,",2
detached,1
mundane,1
happenings,1
around.,1
22-03-2023,1
aloofobserver,1
#floatingthroughlife,1
211,2
entangled,1
web,3
reigning,1
labyrinth,9
ideas.,2
15-05-2021,1
thoughtexplorer,1
#thoughtlabyrinth,2
212,2
numb,1
"chaos,",1
locked,2
"away,",1
stoic,2
facade,1
concealing,1
turmoil.,1
28-12-2019,1
stoicsoul,1
#stoicfacade,1
213,2
whispers,16
"breeze,",2
conversation,2
forgotten,4
dreams.,5
01-03-2020,1
dreamerinsilence,1
#whispersinthebreeze,1
214,2
stumbling,1
upon,2
"journal,",2
flooding,1
"waves,",1
carrying,3
long,1
gone.,1
10-07-2018,2
journalkeeper,1
#journalmoments,1
215,2
tapestry,5
"feelings,",1
weaving,4
"uncertainty,",3
threads,7
ambivalence.,1
05-01-2022,1
threadweaver,2
#conflictingfeelings,1
216,2
"flaws,",1
"imperfection,",1
self-love.,1
20-08-2021,2
selfloveadvocate,1
#selflovejourney,1
217,2
burning,2
"wildfire,",1
overcoming,3
"obstacles,",1
turning,3
dreams,15
03-11-2019,1
dreamchaser,3
#dreamsintoreality,1
218,2
"ocean,",1
washing,1
waves',1
embrace.,1
12-04-2020,2
oceansoul,1
#oceanretreat,1
219,2
horizons,1
spark,3
"curiosity,",4
adventurer,1
landscape,6
15-04-2022,1
horizonexplorer,1
#newhorizons,1
220,2
drifting,2
nonchalant,1
"demeanor,",1
10-02-2023,2
nonchalantspirit,1
#driftingthroughlife,2
221,2
wrestling,1
perplexed,1
complexities.,1
05-08-2020,1
12:15,8
complexthinker,1
#perplexedmind,1
222,2
immersed,5
emotional,7
"numbness,",3
struggles.,1
01-12-2021,1
shieldedheart,1
223,2
symphony,16
playing,1
"background,",1
soundtrack,1
wistful,2
heart.,5
25-03-2019,1
21:00,10
symphonysoul,1
#wistfulheart,1
224,2
flipping,4
"yearbook,",1
smiles,2
face.,1
18-06-2017,1
yearbookexplorer,1
#yearbookmemories,1
225,2
opposing,1
colors,8
08-07-2022,1
decisivedilemma,1
#shadesofuncertainty,1
226,2
"imperfections,",3
"journey,",3
scars,1
all.,1
15-05-2023,1
imperfectharmony,1
#imperfectjourney,1
227,2
fiery,1
"within,",1
vision,1
unparalleled,1
heights.,2
10-09-2021,2
visionaryspirit,1
#unparalleledheights,1
228,2
basking,4
"forest,",2
where,19
bring,2
peace,5
soul.,6
28-02-2020,1
forestdreamer,3
#naturewhispers,1
231,2
noise,2
"world,",3
observer,1
cacophony.,1
10-03-2023,2
silentspectator,1
#silentobserver,1
232,2
navigating,6
companion,4
maze,4
02-05-2021,1
mazenavigator,1
229,1
233,2
impenetrable,2
shields,1
"storms,",1
fortress,2
resilience.,3
18-10-2019,2
resilientfortress,1
#stoicresilience,1
230,1
234,2
hues,6
"nostalgia,",3
canvas,5
memories.,4
05-01-2020,4
canvasdreamer,1
#bittersweetmemories,1
235,2
"past,",2
"diary,",1
taking,2
lead.,1
10-08-2018,1
diaryexplorer,1
#diaryjourney,1
236,2
clouding,1
"decisions,",1
crossroads,2
crossroadstraveler,1
#conflictingemotions,1
237,2
mosaic,4
20-07-2021,2
mosaicdreamer,1
#beautifulchaos,1
238,2
driving,2
"force,",1
propelling,1
forward,1
path,6
extraordinary,1
achievements.,1
03-12-2019,1
pathfinderspirit,1
#extraordinarypath,1
239,2
"raindrops,",2
escape,1
everyday,1
raindropharmony,1
#raindropmelody,1
240,2
exploration,3
"unknown,",2
seeker,1
knowledge,3
uncharted,2
territories.,1
08-05-2022,1
seekerofunknowns,1
#seekerofknowledge,1
241,2
"nonchalance,",1
trivialities,1
nonchalantwanderer,1
242,2
casting,5
shadows,4
quest,1
clarity.,1
05-06-2020,1
shadowedseeker,1
#labyrinthofthoughts,1
243,2
wrapped,3
cloak,2
storms,2
turbulence.,2
30-11-2021,2
turbulentshield,2
#emotionalstorms,2
244,2
"companion,",1
brushstrokes,2
yearning.,1
25-02-2019,1
wistfulpainter,1
#wistfulyearning,1
245,2
leafing,1
photo,5
"album,",1
tales,12
tears.,1
18-05-2017,1
taleweaver,1
#photoalbumstories,1
246,2
"air,",3
05-08-2022,1
crossroadsexplorer,1
#crossroadsconfusion,1
247,2
unpredictable,1
art.,2
15-06-2023,2
mosaicartist,1
#unpredictableart,1
248,2
"ablaze,",1
forging,1
"challenges,",3
sculpting,1
tangible,1
realities.,1
10-10-2021,1
dreamsculptor,1
#sculptingdreams,1
249,2
immerse,1
moonlit,5
"night,",6
12-05-2020,1
moonlitsoul,1
#moonlitpeace,1
250,2
venturing,1
"realms,",1
fearless,1
explorer,1
mysteries,5
01-12-2022,2
fearlessexplorer,1
#fearlessexplorer,1
251,2
252,2
dancing,9
exuberance,1
carefree,1
"spirit,",2
zest,3
turn.,2
12-07-2018,1
joyfuldancer,1
#zest,2
#carefreespirit,1
253,2
golden,6
glow,6
"contentment,",4
river,5
flowing,1
05-09-2020,1
20:10,1
serenebasker,1
#goldenglow,1
254,2
horizon,1
"eyes,",1
illuminated,1
sun,2
optimism.,1
18-04-2022,2
dreampainter,1
#hopeful,9
#canvasofdreams,1
255,2
"tall,",1
proud,5
"oak,",1
branches,1
achievement,2
sky,10
accomplishment.,3
10-12-2019,1
oakachiever,1
#proud,4
#branchesofachievement,1
256,2
heart,15
"gratitude,",3
appreciation,5
blooms,5
soil,1
heartgardener,1
#grateful,4
#blossomingconnection,1
257,2
extending,1
"hand,",1
empathetic,4
"understanding,",1
sorrows,1
03-04-2018,1
14:15,13
#empathetic,3
#tapestryofunderstanding,1
258,2
compassionate,8
"clouds,",1
heavy,3
"care,",1
showering,1
empathy,6
parched,1
grounds,1
human,4
suffering.,1
20-06-2022,2
cloudcaretaker,1
#compassionate,4
#showerofempathy,1
259,2
playfully,3
rain,3
"laughter,",4
whimsical,4
spirit,6
twirling,3
puddles,1
lightheartedness.,1
playful,10
08-07-2020,2
raindancer,1
#playful,6
#danceintherain,1
260,2
soaring,6
wings,3
free,5
unburdened,1
chains,1
"conformity,",1
independence.,1
free-spirited,3
15-08-2021,1
11:10,3
skypainter,1
#freespirit,3
#paintingthesky,1
261,2
bathed,3
"inspiration,",4
phoenix,1
rising,1
ashes,1
ordinary,1
thoughts,3
realms.,1
25-10-2019,1
16:50,1
phoenixexplorer,1
#inspired,5
#creativephoenix,1
262,2
"hope,",2
sailing,2
sunrise,3
"possibilities,",2
confident,6
ship,1
anticipation.,1
05-10-2023,2
sunrisenavigator,1
#sunriseofpossibilities,1
263,2
striding,1
footprints,1
